FILENAME;\Hard Disk2\Result\ReHa_CatIB_HK_20220301_115319.csv
PROTOCOL;ReHa_CatIB_HK
FILE_VERSION;3.3;
DATE START;2022-03-01;11:53:03
DATE END;2022-03-01;11:53:03;;Last Reading;1;Timestamp;75516182                        
DEVICE;BL098-CX_349F39
USER;ReHa;COMMENT;no comment available
PLATETYPE;MTP-48-FlowerPlate;LOT;UNKOWN
MTP ROWS;6
MTP COLUMNS;8
FILTERSETS;1;REFERENCE_MODE;2;MULTI_PMT;0;

FILTERSET;FILTERNAME;EX [nm];EM [nm];LAYOUT;FILTERNR;GAIN;PHASESTATISTICSSIGMA;SIGNALQUALITYTOLERANCE;REFERENCE VALUE;EM2 [nm];GAIN2;PROCESS PARAMETER
C1;C05;X21;;1;0.02047;10.93;0.0;26.20;79.28;-0.01;0.00;
C1;C06;X22;;1;0.02124;10.97;0.0;26.40;81.14;-0.01;0.00;
C1;C07;X23;;1;0.02187;11.22;0.0;26.50;82.33;-0.01;0.00;
C1;C08;X24;;1;0.02250;11.07;0.0;26.60;82.84;-0.01;0.00;
C1;D08;X32;;1;0.02316;8.42;0.0;26.70;83.30;-0.01;0.00;
C1;D07;X31;;1;0.02379;11.14;0.0;26.80;83.69;-0.01;0.00;
C1;D06;X30;;1;0.02442;11.79;0.0;26.90;84.07;-0.01;0.00;
C1;D05;X29;;1;0.02520;11.05;0.0;27.00;84.50;-0.01;0.00;
C1;D04;X28;;1;0.02582;12.09;0.0;27.00;85.00;-0.01;0.00;
C1;D03;X27;;1;0.02646;11.66;0.0;27.10;85.37;-0.01;0.00;
C1;D02;X26;;1;0.02714;11.22;0.0;27.20;85.63;-0.01;0.00;
C1;D01;X25;;1;0.02777;10.56;0.0;27.20;85.63;-0.01;0.00;
C1;E01;X33;;1;0.02843;10.22;0.0;27.30;85.50;-0.01;0.00;
C1;E02;X34;;1;0.02914;11.65;0.0;27.30;85.31;-0.01;0.00;
C1;E03;X35;;1;0.02990;12.20;0.0;27.40;84.86;-0.01;0.00;
C1;E04;X36;;1;0.03052;11.56;0.0;27.40;84.53;-0.01;0.00;
C1;E05;X37;;1;0.03113;12.25;0.0;27.40;84.28;-0.01;0.00;
C1;E06;X38;;1;0.03182;11.14;0.0;27.40;84.27;-0.01;0.00;
C1;E07;X39;;1;0.03245;12.93;0.0;27.50;84.27;-0.01;0.00;
C1;E08;X40;;1;0.03308;10.07;0.0;27.50;84.47;-0.01;0.00;
C1;F08;X48;;1;0.03388;11.04;0.0;27.50;84.92;-0.01;0.00;
C1;F07;X47;;1;0.03450;13.00;0.0;27.50;85.18;-0.01;0.00;
C1;F06;X46;;1;0.03512;14.80;0.0;27.50;85.50;-0.01;0.00;
C1;F05;X45;;1;0.03575;11.47;0.0;27.50;85.76;-0.01;0.00;
C1;F04;X44;;1;0.03639;13.65;0.0;27.50;85.89;-0.01;0.00;
C1;F03;X43;;1;0.03702;11.43;0.0;27.50;85.89;-0.01;0.00;
C1;F02;X42;;1;0.03768;11.41;0.0;27.50;85.82;-0.01;0.00;
C1;F01;X41;;1;0.03833;10.79;0.0;27.50;85.76;-0.01;0.00;
R;;;;1;0.07117;265.18;0.0;25.90;82.40;-0.01;0.00;test measure for referencing with gain 15 
C2;A01;X1;;1;0.07395;10.41;0.0;25.70;82.74;-0.01;0.00;
C2;A02;X2;;1;0.07464;11.47;0.0;25.70;82.66;-0.01;0.00;
C2;A03;X3;;1;0.07526;11.19;0.0;25.70;82.78;-0.01;0.00;
C2;A04;X4;;1;0.07589;11.20;0.0;25.70;82.97;-0.01;0.00;
C2;A05;X5;;1;0.07655;12.40;0.0;25.60;83.04;-0.01;0.00;
C2;A06;X6;;1;0.07718;11.33;0.0;25.60;82.91;-0.01;0.00;
C2;A07;X7;;1;0.07785;11.01;0.0;25.50;82.92;-0.01;0.00;
C2;A08;X8;;1;0.07848;11.65;0.0;25.50;83.09;-0.01;0.00;
C2;B08;X16;;1;0.07913;10.20;0.0;25.50;83.24;-0.01;0.00;
C2;B07;X15;;1;0.07974;12.51;0.0;25.50;83.17;-0.01;0.00;
C2;B06;X14;;1;0.08042;12.27;0.0;25.50;83.17;-0.01;0.00;
C2;B05;X13;;1;0.08105;12.02;0.0;25.50;83.37;-0.01;0.00;
C2;B04;X12;;1;0.08169;10.64;0.0;25.50;83.62;-0.01;0.00;
C2;B03;X11;;1;0.08237;11.61;0.0;25.40;83.63;-0.01;0.00;
C2;B02;X10;;1;0.08299;11.83;0.0;25.40;83.56;-0.01;0.00;
C2;B01;X9;;1;0.08362;10.77;0.0;25.40;83.63;-0.01;0.00;
C2;C01;X17;;1;0.08427;10.59;0.0;25.40;84.01;-0.01;0.00;
C2;C02;X18;;1;0.08494;10.88;0.0;25.40;83.96;-0.01;0.00;
C2;C03;X19;;1;0.08562;12.21;0.0;25.40;83.95;-0.01;0.00;
C2;C04;X20;;1;0.08625;11.26;0.0;25.40;84.02;-0.01;0.00;
C2;C05;X21;;1;0.08687;11.69;0.0;25.40;84.28;-0.01;0.00;
C2;C06;X22;;1;0.08750;11.93;0.0;25.40;84.47;-0.01;0.00;
C2;C07;X23;;1;0.08812;11.45;0.0;25.40;84.47;-0.01;0.00;
C2;C08;X24;;1;0.08877;11.71;0.0;25.30;84.40;-0.01;0.00;
C2;D08;X32;;1;0.08949;8.12;0.0;25.30;84.73;-0.01;0.00;
C2;D07;X31;;1;0.09014;11.96;0.0;25.30;84.86;-0.01;0.00;
C2;D06;X30;;1;0.09078;11.65;0.0;25.20;84.80;-0.01;0.00;
C2;D05;X29;;1;0.09141;10.94;0.0;25.20;84.79;-0.01;0.00;
C2;D04;X28;;1;0.09205;11.98;0.0;25.20;84.93;-0.01;0.00;
C2;D03;X27;;1;0.09273;11.99;0.0;25.20;85.05;-0.01;0.00;
C2;D02;X26;;1;0.09336;11.57;0.0;25.20;85.18;-0.01;0.00;
C2;D01;X25;;1;0.09407;11.10;0.0;25.20;85.12;-0.01;0.00;
C2;E01;X33;;1;0.09471;11.34;0.0;25.20;85.32;-0.01;0.00;
C2;E02;X34;;1;0.09536;12.23;0.0;25.20;85.51;-0.01;0.00;
C2;E03;X35;;1;0.09597;13.09;0.0;25.20;85.32;-0.01;0.00;
C2;E04;X36;;1;0.09667;12.89;0.0;25.10;84.93;-0.01;0.00;
C2;E05;X37;;1;0.09730;13.35;0.0;25.10;84.67;-0.01;0.00;
C2;E06;X38;;1;0.09793;11.91;0.0;25.10;84.59;-0.01;0.00;
C2;E07;X39;;1;0.09855;13.41;0.0;25.10;84.82;-0.01;0.00;
C2;E08;X40;;1;0.09917;10.95;0.0;25.00;84.93;-0.01;0.00;
C2;F08;X48;;1;0.09987;11.22;0.0;25.10;85.05;-0.01;0.00;
C2;F07;X47;;1;0.10051;13.88;0.0;25.00;85.38;-0.01;0.00;
C2;F06;X46;;1;0.10114;15.58;0.0;25.00;85.57;-0.01;0.00;
C2;F05;X45;;1;0.10178;12.16;0.0;25.00;85.44;-0.01;0.00;
C2;F04;X44;;1;0.10242;14.17;0.0;25.00;85.25;-0.01;0.00;
C2;F03;X43;;1;0.10307;11.56;0.0;25.00;85.19;-0.01;0.00;
C2;F02;X42;;1;0.10372;11.90;0.0;25.00;85.22;-0.01;0.00;
C2;F01;X41;;1;0.10435;11.03;0.0;24.90;84.91;-0.01;0.00;
R;;;;1;0.13798;264.54;0.0;24.60;89.01;-0.01;0.00;test measure for referencing with gain 15 
C3;A01;X1;;1;0.14068;10.40;0.0;24.60;89.46;-0.01;0.00;
C3;A02;X2;;1;0.14130;11.60;0.0;24.60;89.46;-0.01;0.00;
C3;A03;X3;;1;0.14192;11.33;0.0;24.60;89.59;-0.01;0.00;
C3;A04;X4;;1;0.14254;11.20;0.0;24.60;89.78;-0.01;0.00;
C3;A05;X5;;1;0.14321;12.76;0.0;24.60;89.86;-0.01;0.00;
C3;A06;X6;;1;0.14383;11.27;0.0;24.60;89.93;-0.01;0.00;
C3;A07;X7;;1;0.14447;11.41;0.0;24.60;90.05;-0.01;0.00;
C3;A08;X8;;1;0.14518;11.90;0.0;24.60;90.23;-0.01;0.00;
C3;B08;X16;;1;0.14584;9.84;0.0;24.60;90.30;-0.01;0.00;
C3;B07;X15;;1;0.14648;12.72;0.0;24.60;90.36;-0.01;0.00;
C3;B06;X14;;1;0.14715;12.58;0.0;24.60;90.43;-0.01;0.00;
C3;B05;X13;;1;0.14778;12.25;0.0;24.60;90.56;-0.01;0.00;
C3;B04;X12;;1;0.14840;11.45;0.0;24.60;90.78;-0.01;0.00;
C3;B03;X11;;1;0.14903;11.65;0.0;24.60;90.76;-0.01;0.00;
C3;B02;X10;;1;0.14983;12.23;0.0;24.60;90.82;-0.01;0.00;
C3;B01;X9;;1;0.15051;10.74;0.0;24.60;90.95;-0.01;0.00;
C3;C01;X17;;1;0.15115;10.57;0.0;24.60;91.08;-0.01;0.00;
C3;C02;X18;;1;0.15184;11.27;0.0;24.60;91.23;-0.01;0.00;
C3;C03;X19;;1;0.15247;12.02;0.0;24.60;91.22;-0.01;0.00;
C3;C04;X20;;1;0.15311;11.69;0.0;24.60;91.33;-0.01;0.00;
C3;C05;X21;;1;0.15376;12.29;0.0;24.60;91.47;-0.01;0.00;
C3;C06;X22;;1;0.15449;12.04;0.0;24.60;91.53;-0.01;0.00;
C3;C07;X23;;1;0.15515;11.81;0.0;24.60;91.53;-0.01;0.00;
C3;C08;X24;;1;0.15578;11.59;0.0;24.60;91.60;-0.01;0.00;
C3;D08;X32;;1;0.15647;8.19;0.0;24.60;91.86;-0.01;0.00;
C3;D07;X31;;1;0.15710;12.27;0.0;24.60;91.86;-0.01;0.00;
C3;D06;X30;;1;0.15772;12.58;0.0;24.60;91.86;-0.01;0.00;
C3;D05;X29;;1;0.15849;11.62;0.0;24.60;91.98;-0.01;0.00;
C3;D04;X28;;1;0.15918;12.54;0.0;24.60;92.12;-0.01;0.00;
C3;D03;X27;;1;0.15980;12.39;0.0;24.60;92.25;-0.01;0.00;
C3;D02;X26;;1;0.16049;11.39;0.0;24.60;92.32;-0.01;0.00;
C3;D01;X25;;1;0.16111;10.94;0.0;24.60;92.44;-0.01;0.00;
C3;E01;X33;;1;0.16175;10.94;0.0;24.60;92.57;-0.01;0.00;
C3;E02;X34;;1;0.16238;12.22;0.0;24.60;92.56;-0.01;0.00;
C3;E03;X35;;1;0.16303;13.81;0.0;24.60;92.63;-0.01;0.00;
C3;E04;X36;;1;0.16371;12.76;0.0;24.60;92.70;-0.01;0.00;
C3;E05;X37;;1;0.16433;14.04;0.0;24.60;92.77;-0.01;0.00;
C3;E06;X38;;1;0.16497;11.91;0.0;24.60;92.96;-0.01;0.00;
C3;E07;X39;;1;0.16559;13.41;0.0;24.60;93.00;-0.01;0.00;
C3;E08;X40;;1;0.16625;10.61;0.0;24.60;93.03;-0.01;0.00;
C3;F08;X48;;1;0.16699;11.84;0.0;24.60;93.22;-0.01;0.00;
C3;F07;X47;;1;0.16784;13.44;0.0;24.60;93.28;-0.01;0.00;
C3;F06;X46;;1;0.16847;16.08;0.0;24.60;93.41;-0.01;0.00;
C3;F05;X45;;1;0.16910;12.46;0.0;24.60;93.42;-0.01;0.00;
C3;F04;X44;;1;0.16972;14.62;0.0;24.60;93.54;-0.01;0.00;
C3;F03;X43;;1;0.17034;11.90;0.0;24.60;93.61;-0.01;0.00;
C3;F02;X42;;1;0.17101;11.81;0.0;24.60;93.67;-0.01;0.00;
C3;F01;X41;;1;0.17164;11.39;0.0;24.60;93.67;-0.01;0.00;
R;;;;1;0.20453;264.39;0.0;24.70;95.98;-0.01;0.00;test measure for referencing with gain 15 
C4;A01;X1;;1;0.20705;10.62;0.0;24.70;96.27;-0.01;0.00;
C4;A02;X2;;1;0.20768;11.50;0.0;24.70;96.27;-0.01;0.00;
C4;A03;X3;;1;0.20830;12.03;0.0;24.70;96.34;-0.01;0.00;
C4;A04;X4;;1;0.20891;11.54;0.0;24.70;96.40;-0.01;0.00;
C4;A05;X5;;1;0.20962;12.82;0.0;24.70;96.46;-0.01;0.00;
C4;A06;X6;;1;0.21034;11.13;0.0;24.80;96.54;-0.01;0.00;
C4;A07;X7;;1;0.21098;11.72;0.0;24.70;96.60;-0.01;0.00;
C4;A08;X8;;1;0.21161;12.38;0.0;24.70;96.66;-0.01;0.00;
C4;B08;X16;;1;0.21229;10.67;0.0;24.70;96.65;-0.01;0.00;
C4;B07;X15;;1;0.21292;12.62;0.0;24.80;96.65;-0.01;0.00;
C4;B06;X14;;1;0.21353;12.53;0.0;24.80;96.73;-0.01;0.00;
C4;B05;X13;;1;0.21432;12.80;0.0;24.80;96.80;-0.01;0.00;
C4;B04;X12;;1;0.21495;12.12;0.0;24.80;96.86;-0.01;0.00;
C4;B03;X11;;1;0.21562;12.31;0.0;24.80;96.85;-0.01;0.00;
C4;B02;X10;;1;0.21624;12.34;0.0;24.80;96.92;-0.01;0.00;
C4;B01;X9;;1;0.21688;10.79;0.0;24.80;96.92;-0.01;0.00;
C4;C01;X17;;1;0.21754;10.40;0.0;24.80;96.92;-0.01;0.00;
C4;C02;X18;;1;0.21823;11.25;0.0;24.80;96.92;-0.01;0.00;
C4;C03;X19;;1;0.21896;12.52;0.0;24.80;96.98;-0.01;0.00;
C4;C04;X20;;1;0.21959;11.80;0.0;24.80;96.98;-0.01;0.00;
C4;C05;X21;;1;0.22022;11.72;0.0;24.80;97.05;-0.01;0.00;
C4;C06;X22;;1;0.22089;12.48;0.0;24.80;97.04;-0.01;0.00;
C4;C07;X23;;1;0.22152;12.34;0.0;24.80;97.04;-0.01;0.00;
C4;C08;X24;;1;0.22215;12.02;0.0;24.80;97.05;-0.01;0.00;
C4;D08;X32;;1;0.22291;8.15;0.0;24.80;97.12;-0.01;0.00;
C4;D07;X31;;1;0.22354;12.16;0.0;24.80;97.11;-0.01;0.00;
C4;D06;X30;;1;0.22417;12.74;0.0;24.80;97.18;-0.01;0.00;
C4;D05;X29;;1;0.22479;11.58;0.0;24.80;97.18;-0.01;0.00;
C4;D04;X28;;1;0.22546;12.23;0.0;24.80;97.18;-0.01;0.00;
C4;D03;X27;;1;0.22609;12.17;0.0;24.80;97.18;-0.01;0.00;
C4;D02;X26;;1;0.22674;11.62;0.0;24.80;97.18;-0.01;0.00;
C4;D01;X25;;1;0.22736;11.04;0.0;24.80;97.24;-0.01;0.00;
C4;E01;X33;;1;0.22805;11.04;0.0;24.80;97.30;-0.01;0.00;
C4;E02;X34;;1;0.22869;12.55;0.0;24.80;97.31;-0.01;0.00;
C4;E03;X35;;1;0.22932;13.89;0.0;24.80;97.24;-0.01;0.00;
C4;E04;X36;;1;0.22994;13.07;0.0;24.80;97.30;-0.01;0.00;
C4;E05;X37;;1;0.23056;13.18;0.0;24.80;97.36;-0.01;0.00;
C4;E06;X38;;1;0.23127;12.14;0.0;24.80;97.43;-0.01;0.00;
C4;E07;X39;;1;0.23199;13.11;0.0;24.80;97.44;-0.01;0.00;
C4;E08;X40;;1;0.23261;11.33;0.0;24.80;97.50;-0.01;0.00;
C4;F08;X48;;1;0.23327;11.96;0.0;24.80;97.44;-0.01;0.00;
C4;F07;X47;;1;0.23394;14.63;0.0;24.80;97.50;-0.01;0.00;
C4;F06;X46;;1;0.23457;15.66;0.0;24.80;97.56;-0.01;0.00;
C4;F05;X45;;1;0.23520;12.74;0.0;24.80;97.57;-0.01;0.00;
C4;F04;X44;;1;0.23590;15.21;0.0;24.80;97.57;-0.01;0.00;
C4;F03;X43;;1;0.23656;12.02;0.0;24.80;97.63;-0.01;0.00;
C4;F02;X42;;1;0.23718;11.69;0.0;24.80;97.69;-0.01;0.00;
C4;F01;X41;;1;0.23781;11.43;0.0;24.80;97.66;-0.01;0.00;
R;;;;1;0.27125;264.31;0.0;24.90;98.47;-0.01;0.00;test measure for referencing with gain 15 
C5;A01;X1;;1;0.27400;11.22;0.0;24.90;98.47;-0.01;0.00;
C5;A02;X2;;1;0.27467;11.58;0.0;24.90;98.54;-0.01;0.00;
C5;A03;X3;;1;0.27530;11.53;0.0;24.90;98.54;-0.01;0.00;
C5;A04;X4;;1;0.27593;11.23;0.0;24.90;98.60;-0.01;0.00;
C5;A05;X5;;1;0.27655;12.99;0.0;24.90;98.60;-0.01;0.00;
C5;A06;X6;;1;0.27719;11.50;0.0;24.90;98.60;-0.01;0.00;
C5;A07;X7;;1;0.27787;10.86;0.0;24.90;98.64;-0.01;0.00;
C5;A08;X8;;1;0.27851;12.45;0.0;24.90;98.68;-0.01;0.00;
C5;B08;X16;;1;0.27916;10.17;0.0;24.90;98.67;-0.01;0.00;
C5;B07;X15;;1;0.27978;12.73;0.0;24.90;98.67;-0.01;0.00;
C5;B06;X14;;1;0.28042;13.15;0.0;24.90;98.74;-0.01;0.00;
C5;B05;X13;;1;0.28104;12.35;0.0;24.90;98.73;-0.01;0.00;
C5;B04;X12;;1;0.28170;11.99;0.0;24.90;98.74;-0.01;0.00;
C5;B03;X11;;1;0.28232;12.17;0.0;24.90;98.73;-0.01;0.00;
C5;B02;X10;;1;0.28315;12.51;0.0;24.90;98.74;-0.01;0.00;
C5;B01;X9;;1;0.28378;10.43;0.0;24.90;98.74;-0.01;0.00;
C5;C01;X17;;1;0.28444;11.30;0.0;24.90;98.73;-0.01;0.00;
C5;C02;X18;;1;0.28505;11.09;0.0;24.90;98.73;-0.01;0.00;
C5;C03;X19;;1;0.28570;12.67;0.0;24.90;98.67;-0.01;0.00;
C5;C04;X20;;1;0.28633;12.25;0.0;24.90;98.74;-0.01;0.00;
C5;C05;X21;;1;0.28698;12.64;0.0;24.90;98.74;-0.01;0.00;
C5;C06;X22;;1;0.28762;12.45;0.0;24.90;98.77;-0.01;0.00;
C5;C07;X23;;1;0.28825;12.46;0.0;24.90;98.76;-0.01;0.00;
C5;C08;X24;;1;0.28888;11.63;0.0;24.90;98.74;-0.01;0.00;
C5;D08;X32;;1;0.28958;8.00;0.0;24.90;98.73;-0.01;0.00;
C5;D07;X31;;1;0.29020;12.61;0.0;24.90;98.80;-0.01;0.00;
C5;D06;X30;;1;0.29083;12.63;0.0;24.90;98.80;-0.01;0.00;
C5;D05;X29;;1;0.29145;11.81;0.0;24.90;98.80;-0.01;0.00;
C5;D04;X28;;1;0.29209;12.54;0.0;24.90;98.86;-0.01;0.00;
C5;D03;X27;;1;0.29274;12.53;0.0;24.90;98.85;-0.01;0.00;
C5;D02;X26;;1;0.29336;12.17;0.0;24.90;98.94;-0.01;0.00;
C5;D01;X25;;1;0.29398;10.99;0.0;24.90;98.95;-0.01;0.00;
C5;E01;X33;;1;0.29463;11.45;0.0;24.90;98.93;-0.01;0.00;
C5;E02;X34;;1;0.29528;13.20;0.0;24.90;98.93;-0.01;0.00;
C5;E03;X35;;1;0.29600;13.64;0.0;24.90;98.93;-0.01;0.00;
C5;E04;X36;;1;0.29661;12.95;0.0;24.90;98.93;-0.01;0.00;
C5;E05;X37;;1;0.29724;13.32;0.0;24.90;98.93;-0.01;0.00;
C5;E06;X38;;1;0.29787;11.82;0.0;24.90;98.93;-0.01;0.00;
C5;E07;X39;;1;0.29855;13.73;0.0;24.90;99.01;-0.01;0.00;
C5;E08;X40;;1;0.29918;11.19;0.0;24.90;99.00;-0.01;0.00;
C5;F08;X48;;1;0.29982;12.01;0.0;24.90;99.00;-0.01;0.00;
C5;F07;X47;;1;0.30059;13.92;0.0;24.90;98.99;-0.01;0.00;
C5;F06;X46;;1;0.30124;16.54;0.0;24.90;98.99;-0.01;0.00;
C5;F05;X45;;1;0.30186;12.28;0.0;24.90;98.99;-0.01;0.00;
C5;F04;X44;;1;0.30250;14.83;0.0;24.90;98.99;-0.01;0.00;
C5;F03;X43;;1;0.30312;12.09;0.0;24.90;99.08;-0.01;0.00;
C5;F02;X42;;1;0.30375;11.89;0.0;24.90;99.06;-0.01;0.00;
C5;F01;X41;;1;0.30445;11.14;0.0;24.90;98.99;-0.01;0.00;
R;;;;1;0.33803;264.68;0.0;25.00;99.47;-0.01;0.00;test measure for referencing with gain 15 
C6;A01;X1;;1;0.34059;10.84;0.0;25.00;99.45;-0.01;0.00;
C6;A02;X2;;1;0.34121;11.97;0.0;25.00;99.45;-0.01;0.00;
C6;A03;X3;;1;0.34190;11.76;0.0;25.00;99.45;-0.01;0.00;
C6;A04;X4;;1;0.34253;12.35;0.0;25.00;99.46;-0.01;0.00;
C6;A05;X5;;1;0.34323;12.71;0.0;25.00;99.49;-0.01;0.00;
C6;A06;X6;;1;0.34385;11.58;0.0;25.00;99.45;-0.01;0.00;
C6;A07;X7;;1;0.34457;11.00;0.0;25.00;99.45;-0.01;0.00;
C6;A08;X8;;1;0.34518;11.92;0.0;25.00;99.45;-0.01;0.00;
C6;B08;X16;;1;0.34584;10.32;0.0;25.00;99.45;-0.01;0.00;
C6;B07;X15;;1;0.34647;12.73;0.0;25.00;99.46;-0.01;0.00;
C6;B06;X14;;1;0.34712;13.15;0.0;25.00;99.46;-0.01;0.00;
C6;B05;X13;;1;0.34783;12.69;0.0;25.00;99.52;-0.01;0.00;
C6;B04;X12;;1;0.34846;12.15;0.0;25.00;99.52;-0.01;0.00;
C6;B03;X11;;1;0.34908;11.98;0.0;25.00;99.52;-0.01;0.00;
C6;B02;X10;;1;0.34972;12.67;0.0;25.00;99.52;-0.01;0.00;
C6;B01;X9;;1;0.35034;10.94;0.0;25.00;99.45;-0.01;0.00;
C6;C01;X17;;1;0.35100;11.25;0.0;25.00;99.45;-0.01;0.00;
C6;C02;X18;;1;0.35165;10.86;0.0;25.00;99.45;-0.01;0.00;
C6;C03;X19;;1;0.35229;12.86;0.0;25.00;99.46;-0.01;0.00;
C6;C04;X20;;1;0.35291;11.71;0.0;25.00;99.44;-0.01;0.00;
C6;C05;X21;;1;0.35352;12.09;0.0;25.00;99.50;-0.01;0.00;
C6;C06;X22;;1;0.35419;12.80;0.0;25.00;99.39;-0.01;0.00;
C6;C07;X23;;1;0.35481;12.58;0.0;25.00;99.39;-0.01;0.00;
C6;C08;X24;;1;0.35543;12.41;0.0;25.00;99.39;-0.01;0.00;
C6;D08;X32;;1;0.35617;8.37;0.0;25.00;99.39;-0.01;0.00;
C6;D07;X31;;1;0.35681;12.61;0.0;25.00;99.39;-0.01;0.00;
C6;D06;X30;;1;0.35745;13.01;0.0;25.00;99.39;-0.01;0.00;
C6;D05;X29;;1;0.35808;11.87;0.0;25.00;99.44;-0.01;0.00;
C6;D04;X28;;1;0.35869;12.88;0.0;25.00;99.40;-0.01;0.00;
C6;D03;X27;;1;0.35931;12.46;0.0;25.00;99.39;-0.01;0.00;
C6;D02;X26;;1;0.36005;12.02;0.0;25.00;99.39;-0.01;0.00;
C6;D01;X25;;1;0.36071;11.27;0.0;24.90;99.32;-0.01;0.00;
C6;E01;X33;;1;0.36137;11.54;0.0;25.00;99.32;-0.01;0.00;
C6;E02;X34;;1;0.36200;12.78;0.0;25.00;99.32;-0.01;0.00;
C6;E03;X35;;1;0.36262;13.64;0.0;25.00;99.35;-0.01;0.00;
C6;E04;X36;;1;0.36329;12.78;0.0;25.00;99.34;-0.01;0.00;
C6;E05;X37;;1;0.36393;14.61;0.0;25.00;99.33;-0.01;0.00;
C6;E06;X38;;1;0.36456;12.37;0.0;25.00;99.39;-0.01;0.00;
C6;E07;X39;;1;0.36533;13.92;0.0;25.00;99.32;-0.01;0.00;
C6;E08;X40;;1;0.36597;11.18;0.0;25.00;99.39;-0.01;0.00;
C6;F08;X48;;1;0.36661;11.98;0.0;25.00;99.32;-0.01;0.00;
C6;F07;X47;;1;0.36724;13.77;0.0;25.00;99.43;-0.01;0.00;
C6;F06;X46;;1;0.36791;15.46;0.0;25.00;99.39;-0.01;0.00;
C6;F05;X45;;1;0.36853;12.99;0.0;25.00;99.39;-0.01;0.00;
C6;F04;X44;;1;0.36922;15.35;0.0;25.00;99.39;-0.01;0.00;
C6;F03;X43;;1;0.36989;11.69;0.0;25.00;99.39;-0.01;0.00;
C6;F02;X42;;1;0.37052;11.67;0.0;25.00;99.32;-0.01;0.00;
C6;F01;X41;;1;0.37115;11.48;0.0;25.00;99.32;-0.01;0.00;
R;;;;1;0.40457;264.81;0.0;25.00;99.20;-0.01;0.00;test measure for referencing with gain 15 
C7;A01;X1;;1;0.40725;11.18;0.0;25.00;99.13;-0.01;0.00;
C7;A02;X2;;1;0.40805;11.80;0.0;24.90;99.07;-0.01;0.00;
C7;A03;X3;;1;0.40871;12.17;0.0;25.00;99.06;-0.01;0.00;
